name,createdAt,primaryLanguage,stargazers,pullRequests,releases,updatedAt,total_issues,closed_issues,issue_closure_ratio,age,last_update
freeCodeCamp,2014-12-24T17:49:19Z,TypeScript,399484,22854,0,2024-08-22T23:38:01Z,18191,18009,0.9899950524984883,10,0
free-programming-books,2013-10-11T06:50:37Z,Unknown,331962,6482,0,2024-08-23T00:22:44Z,1092,1066,0.9761904761904762,11,0
awesome,2014-07-11T13:42:37Z,Unknown,320441,651,0,2024-08-23T00:32:39Z,340,327,0.961764705882353,10,0
public-apis,2016-03-20T23:49:42Z,Python,310490,1872,0,2024-08-23T00:35:22Z,599,587,0.9799666110183639,8,0
coding-interview-university,2016-06-06T02:34:12Z,Unknown,302839,411,0,2024-08-23T00:35:22Z,438,394,0.8995433789954338,8,0
build-your-own-x,2018-05-09T12:03:18Z,Unknown,296179,139,0,2024-08-23T00:30:10Z,663,481,0.7254901960784313,6,0
developer-roadmap,2017-03-15T13:45:52Z,TypeScript,288395,2602,1,2024-08-23T00:35:26Z,2172,2130,0.9806629834254144,7,0
996.ICU,2019-03-26T07:31:14Z,Unknown,269625,1066,0,2024-08-22T23:38:09Z,0,0,0.0,5,0
system-design-primer,2017-02-26T16:15:28Z,Python,267660,198,0,2024-08-23T00:28:09Z,295,84,0.2847457627118644,7,0
react,2013-05-24T16:15:54Z,JavaScript,226548,10688,101,2024-08-23T00:23:44Z,13096,12427,0.9489156994502138,11,0
awesome-python,2014-06-27T21:00:06Z,Python,216442,543,0,2024-08-23T00:32:40Z,0,0,0.0,10,0
vue,2013-07-29T03:24:51Z,TypeScript,207595,1135,249,2024-08-22T21:22:06Z,10015,9660,0.964553170244633,11,0
project-based-learning,2017-04-12T05:07:46Z,Unknown,193169,182,0,2024-08-23T00:27:46Z,160,69,0.43125,7,0
awesome-selfhosted,2015-06-01T02:33:17Z,Unknown,191743,2392,1,2024-08-23T00:32:41Z,804,804,1.0,9,0
javascript-algorithms,2018-03-24T07:47:04Z,JavaScript,186375,299,0,2024-08-23T00:28:24Z,351,223,0.6353276353276354,6,0
tensorflow,2015-11-07T01:19:20Z,C++,184824,22398,208,2024-08-23T00:30:45Z,39655,37879,0.9552137183205144,9,0
Python,2016-07-16T09:44:01Z,Python,183466,2797,0,2024-08-23T00:03:03Z,1457,1430,0.9814687714481812,8,0
You-Dont-Know-JS,2013-11-16T02:37:24Z,Unknown,178670,367,0,2024-08-22T23:47:54Z,925,846,0.9145945945945946,11,0
linux,2011-09-04T22:48:12Z,C,176717,10,0,2024-08-22T23:50:39Z,0,0,0.0,13,0
CS-Notes,2018-02-13T14:56:24Z,Unknown,174355,374,0,2024-08-23T00:32:28Z,578,446,0.7716262975778547,6,0
ohmyzsh,2009-08-28T18:15:37Z,Shell,171882,3188,0,2024-08-22T23:50:03Z,4795,4677,0.9753910323253389,15,0
bootstrap,2011-07-29T21:19:00Z,JavaScript,169834,8779,89,2024-08-22T22:17:50Z,22467,22017,0.9799706235812525,13,0
computer-science,2014-05-04T00:18:39Z,Unknown,167591,267,0,2024-08-23T00:18:07Z,636,619,0.9732704402515723,10,0
AutoGPT,2023-03-16T09:21:07Z,Python,165962,1857,21,2024-08-23T00:22:37Z,2548,2398,0.9411302982731554,1,0
flutter,2015-03-06T22:54:58Z,Dart,164188,38631,7,2024-08-23T00:24:44Z,97681,85195,0.872175755776456,9,0
vscode,2015-09-03T20:23:38Z,TypeScript,161753,26802,139,2024-08-22T23:02:30Z,181619,172551,0.9500713031125598,9,0
gitignore,2010-11-08T20:17:14Z,Unknown,160581,1546,0,2024-08-22T23:18:37Z,0,0,0.0,14,0
Python-100-Days,2018-03-01T16:05:52Z,Python,154050,13,0,2024-08-23T00:09:36Z,639,110,0.17214397496087636,6,0
the-art-of-command-line,2015-05-20T15:11:03Z,Unknown,151838,317,0,2024-08-23T00:22:12Z,251,132,0.5258964143426295,9,0
JavaGuide,2018-05-07T13:27:00Z,Java,145530,1044,0,2024-08-23T00:35:36Z,1032,970,0.939922480620155,6,0
javascript,2012-11-01T23:13:50Z,JavaScript,144361,804,0,2024-08-22T22:17:28Z,1323,1231,0.9304610733182161,12,0
the-book-of-secret-knowledge,2018-06-23T10:43:14Z,Unknown,141356,122,0,2024-08-23T00:32:43Z,0,0,0.0,6,0
stable-diffusion-webui,2022-08-22T14:05:26Z,Python,138353,1829,26,2024-08-22T23:10:57Z,7606,5387,0.7082566394951354,2,0
transformers,2018-10-29T13:56:00Z,Python,130948,13171,164,2024-08-23T00:24:08Z,15531,14543,0.9363852939282725,6,0
youtube-dl,2010-10-31T14:35:07Z,Python,130927,1636,341,2024-08-22T23:55:51Z,26591,22884,0.8605919296002407,14,0
awesome-go,2014-07-06T13:42:15Z,Go,127444,3229,0,2024-08-23T00:32:45Z,646,644,0.9969040247678018,10,0
fucking-algorithm,2020-02-19T09:01:23Z,Markdown,124725,233,1,2024-08-22T19:02:32Z,829,456,0.5500603136308806,4,0
next.js,2016-10-05T23:32:51Z,JavaScript,124225,17956,1000,2024-08-23T00:31:19Z,21009,18140,0.8634394783188157,8,0
go,2014-08-19T04:33:40Z,Go,122135,1,0,2024-08-23T00:19:29Z,63013,53916,0.855632964626347,10,0
30-seconds-of-code,2017-11-29T17:35:03Z,JavaScript,120823,817,10,2024-08-22T23:02:18Z,294,294,1.0,7,0
react-native,2015-01-09T18:10:16Z,C++,117687,848,336,2024-08-23T00:28:24Z,25971,25377,0.97712833545108,9,0
tech-interview-handbook,2016-07-05T05:00:48Z,TypeScript,115623,459,0,2024-08-23T00:34:44Z,93,62,0.6666666666666666,8,0
electron,2013-04-12T01:47:36Z,C++,113471,20069,1000,2024-08-23T00:23:20Z,19968,19113,0.9571814903846154,11,0
free-programming-books-zh_CN,2013-11-04T01:59:19Z,Unknown,110895,282,3,2024-08-22T16:10:04Z,0,0,0.0,11,0
kubernetes,2014-06-06T22:56:04Z,Go,109333,59173,690,2024-08-23T00:20:19Z,45651,43795,0.9593437164574709,10,0
awesome-chatgpt-prompts,2022-12-05T13:54:13Z,HTML,108317,117,0,2024-08-22T23:40:59Z,0,0,0.0,2,0
d3,2010-09-27T17:22:42Z,Shell,108313,485,194,2024-08-22T22:16:19Z,2198,2192,0.997270245677889,14,0
PowerToys,2019-05-01T17:44:02Z,C#,108242,4769,101,2024-08-22T22:31:09Z,28818,22916,0.795197446040669,5,0
scrcpy,2017-11-21T18:00:27Z,C,107789,85,39,2024-08-22T22:33:17Z,4674,2752,0.5887890457851946,7,0
